id,source_x,source_y,reference_x,reference_y,refined_ref_x,refined_ref_y,subpixel_dx,subpixel_dy,confidence,is_inlier,grid_cell_x,grid_cell_y,residual_px
312,343.0,189.0,331.0,198.0,332.01231324113905,199.02682838588953,1.0123132411390543,1.0268283858895302,0.38872906431273135,True,6,3,1.789072036743164
7,363.0,176.0,351.0,188.0,351.0985011085868,188.01495560444891,0.09850110858678818,0.014955604448914528,0.2636366504907162,True,6,3,0.10056237876415253
86,363.0,190.0,350.0,200.0,350.74383264780045,201.72914764285088,0.7438326478004456,1.7291476428508759,0.2604841255182654,False,6,3,0.0
82,363.0,157.0,352.0,169.0,351.87856904417276,169.02955408021808,-0.12143095582723618,0.029554080218076706,0.1429355686439131,True,6,3,0.016918970271945
98,194.0,300.0,178.0,306.0,178.01903082057834,306.0069671543315,0.019030820578336716,0.006967154331505299,0.3998187150057502,True,3,5,0.11928818374872208
39,210.0,298.0,195.0,304.0,193.88242691010237,304.81767070293427,-1.1175730898976326,0.8176707029342651,0.29256049691568947,True,3,5,0.21297571063041687
185,196.0,279.0,181.0,286.0,180.64983624219894,284.976101314649,-0.3501637578010559,-1.0238986853510141,0.2388671949400174,True,3,5,0.1748960167169571
279,175.0,263.0,162.0,269.0,159.281201004982,269.0930415317416,-2.7187989950180054,0.09304153174161911,0.21138270824214928,True,3,5,1.162928819656372
68,278.0,139.0,268.0,148.0,267.6095798611641,147.9446146376431,-0.390420138835907,-0.05538536235690117,0.48099797551490764,False,5,2,0.0
177,282.0,117.0,273.0,126.0,272.78870409727097,125.80404809117317,-0.21129590272903442,-0.195951908826828,0.3990377875742518,True,5,2,0.626825749874115
76,300.0,142.0,289.0,152.0,289.19828198850155,152.03431468456984,0.19828198850154877,0.03431468456983566,0.2210171858381125,True,5,2,0.3095477819442749
292,266.0,121.0,260.0,130.0,256.0,130.0,-4.0,0.0,0.15179936545341866,True,5,2,0.38918396830558777
262,327.0,267.0,312.0,278.0,311.89849699288607,277.8862165212631,-0.10150300711393356,-0.11378347873687744,0.5194433981000324,True,6,5,0.22514766454696655
17,324.0,281.0,309.0,291.0,308.81834211945534,290.9329304173589,-0.18165788054466248,-0.06706958264112473,0.3605155007985975,True,6,5,0.7194947004318237
26,364.0,284.0,350.0,295.0,348.46774089336395,296.1883670836687,-1.5322591066360474,1.1883670836687088,0.3476736854252716,True,6,5,0.2051694244146347
100,346.0,259.0,332.0,270.0,330.90292343497276,270.5226040184498,-1.097076565027237,0.5226040184497833,0.3151904083781658,True,6,5,0.4304324686527252
11,165.0,197.0,153.0,202.0,152.63847601413727,201.89435245841742,-0.36152398586273193,-0.10564754158258438,0.38482526732970995,True,2,3,0.21373023092746735
69,131.0,200.0,118.0,204.0,118.51097297668457,203.86757040023804,0.5109729766845703,-0.1324295997619629,0.2770674695601567,True,2,3,0.061214037239551544
13,187.0,303.0,171.0,309.0,170.78015087544918,308.8091319054365,-0.2198491245508194,-0.1908680945634842,0.3389564764072589,True,3,6,0.0461292639374733
33,180.0,335.0,163.0,341.0,162.96783265471458,340.31544932723045,-0.03216734528541565,-0.6845506727695465,0.2993506545793288,True,3,6,0.3906618356704712
12,184.0,313.0,169.0,321.0,168.05094109848142,318.3069109916687,-0.9490589015185833,-2.693089008331299,0.22120240048605333,True,3,6,0.721544086933136
37,364.0,303.0,348.0,315.0,347.827623590827,314.8466450870037,-0.17237640917301178,-0.15335491299629211,0.33897471868660134,True,6,6,0.1538165807723999
95,331.0,337.0,313.0,348.0,313.7080120742321,347.8232567757368,0.7080120742321014,-0.17674322426319122,0.3035664325977428,True,6,6,0.12635818123817444
273,325.0,310.0,308.0,320.0,306.0,324.0,-2.0,4.0,0.22410151696321567,False,6,6,0.0
134,367.0,338.0,349.0,351.0,349.40681114792824,350.145842730999,0.4068111479282379,-0.8541572690010071,0.22193929214878771,True,6,6,0.14017227292060852
16,191.0,401.0,171.0,407.0,171.1548130363226,407.0805974006653,0.1548130363225937,0.0805974006652832,0.3777221335532464,True,3,7,0.2298448532819748
116,181.0,391.0,162.0,398.0,161.92768122255802,396.31988951563835,-0.07231877744197845,-1.6801104843616486,0.3330521999917439,True,3,7,0.3777618706226349
99,193.0,356.0,175.0,362.0,174.9605780132115,361.98508505057544,-0.039421986788511276,-0.014914949424564838,0.3237170115258079,True,3,7,0.058863501995801926
112,213.0,380.0,194.0,387.0,194.07916697114706,386.89200370013714,0.0791669711470604,-0.10799629986286163,0.2759353163844025,True,3,7,0.1549277901649475
18,292.0,31.0,285.0,41.0,284.985048298724,40.7789738625288,-0.014951701276004314,-0.22102613747119904,0.3276817529345415,True,5,0,0.3704206347465515
23,278.0,20.0,272.0,29.0,271.7706397473812,28.896291114389896,-0.22936025261878967,-0.10370888561010361,0.2564365909527751,True,5,0,0.2810303270816803
20,143.0,319.0,126.0,323.0,126.36049780249596,323.123045951128,0.3604978024959564,0.12304595112800598,0.2751803175340565,True,2,6,0.20973581075668335
126,123.0,312.0,108.0,315.0,106.13994005322456,315.8338504731655,-1.8600599467754364,0.8338504731655121,0.2612003132750967,True,2,6,0.4277881681919098
207,161.0,321.0,141.0,326.0,144.04289115220308,326.0054609021172,3.042891152203083,0.005460902117192745,0.1319691562616984,False,2,6,0.0
181,262.0,362.0,244.0,370.0,244.1673020720482,370.3667403757572,0.16730207204818726,0.3667403757572174,0.44882541679864085,True,4,7,0.4457661211490631
226,236.0,380.0,216.0,389.0,216.07496248930693,389.16522888839245,0.07496248930692673,0.16522888839244843,0.3888247628467831,True,4,7,1.9243029356002808
300,239.0,361.0,222.0,368.0,221.71305084228516,367.8726965636015,-0.28694915771484375,-0.12730343639850616,0.3443588078987475,True,4,7,1.217225432395935
91,230.0,396.0,210.0,403.0,210.7950484752655,402.88630410283804,0.7950484752655029,-0.1136958971619606,0.31442281185845,True,4,7,0.5138244032859802
192,116.0,248.0,103.0,251.0,102.10698366910219,251.12411388009787,-0.8930163308978081,0.12411388009786606,0.41382826532825756,True,2,4,0.41925930976867676
255,162.0,245.0,148.0,251.0,147.97019567154348,250.1741910725832,-0.029804328456521034,-0.8258089274168015,0.36350103661699545,True,2,4,0.22351957857608795
246,138.0,202.0,125.0,205.0,125.62528297305107,206.1205500215292,0.6252829730510712,1.1205500215291977,0.345709351278581,True,2,4,0.23433172702789307
24,158.0,201.0,146.0,206.0,145.33936887979507,206.04434802383184,-0.6606311202049255,0.04434802383184433,0.2958336798424221,True,2,4,0.21297311782836914
90,333.0,436.0,312.0,446.0,312.1054671406746,447.01890972442925,0.10546714067459106,1.0189097244292498,0.353641359991413,True,6,8,0.11744417250156403
172,347.0,446.0,325.0,457.0,325.72422352433205,457.18024407327175,0.7242235243320465,0.1802440732717514,0.1755486540355268,True,6,8,0.20997819304466248
149,374.0,436.0,353.0,448.0,353.30847269296646,448.4719194471836,0.3084726929664612,0.471919447183609,0.14566380439354296,False,6,8,0.0
27,341.0,421.0,320.0,433.0,320.57443165779114,431.8632983267307,0.5744316577911377,-1.1367016732692719,0.13877558354635133,False,6,8,0.0
247,323.0,78.0,314.0,90.0,314.8797599300742,88.09670005738735,0.8797599300742149,-1.903299942612648,0.26446104389328196,False,6,1,0.0
133,329.0,43.0,321.0,53.0,321.96403529495,54.06209697574377,0.9640352949500084,1.0620969757437706,0.2254109353842452,False,6,1,0.0
28,346.0,48.0,338.0,58.0,338.99941801128443,59.14928928017616,0.9994180112844333,1.1492892801761627,0.22349601100377936,True,6,1,0.4875030517578125
231,361.0,80.0,355.0,91.0,352.4647538661957,92.42551907896996,-2.5352461338043213,1.4255190789699554,0.17896620991956125,True,6,1,0.41739413142204285
29,253.0,323.0,236.0,331.0,236.09920445084572,331.2465816438198,0.09920445084571838,0.24658164381980896,0.2925794031955904,True,4,6,0.1216188296675682
34,237.0,350.0,219.0,358.0,218.89612318575382,357.8435969352722,-0.10387681424617767,-0.1564030647277832,0.16749033023272694,True,4,6,0.3771125078201294
303,239.0,326.0,222.0,334.0,222.01499379146844,334.15155886113644,0.014993791468441486,0.15155886113643646,0.10766337687271187,True,4,6,0.5130860209465027
204,82.0,389.0,63.0,391.0,62.982394794002175,390.98441834002733,-0.01760520599782467,-0.015581659972667694,0.4425151564826778,False,1,7,0.0
30,94.0,369.0,76.0,371.0,75.255994617939,371.8282154351473,-0.7440053820610046,0.8282154351472855,0.42692303034907014,True,1,7,0.31500017642974854
51,96.0,381.0,78.0,384.0,77.16945469379425,383.8660128414631,-0.8305453062057495,-0.133987158536911,0.3486139123820196,True,1,7,0.2129289209842682
199,83.0,358.0,66.0,359.0,65.182274132967,360.34185871481895,-0.8177258670330048,1.3418587148189545,0.22499859316067897,True,1,7,0.33040061593055725
55,490.0,351.0,472.0,367.0,472.7240649163723,367.04567927867174,0.7240649163722992,0.045679278671741486,0.2516630765304836,True,9,7,0.7840983271598816
32,502.0,369.0,485.0,386.0,482.9390944465995,385.90825340896845,-2.0609055534005165,-0.09174659103155136,0.23170536246061815,True,9,7,0.4511542320251465
60,81.0,315.0,65.0,318.0,64.44591489434242,317.24917006492615,-0.5540851056575775,-0.7508299350738525,0.27072282053691576,True,1,6,0.10908611118793488
298,114.0,323.0,99.0,326.0,97.36254197359085,326.25595408678055,-1.6374580264091492,0.2559540867805481,0.23050611759504697,False,1,6,0.0
35,68.0,323.0,52.0,323.0,51.08149668574333,324.9587062969804,-0.9185033142566681,1.958706296980381,0.2303790776855602,True,1,6,0.2590715289115906
284,101.0,331.0,86.0,332.0,83.74916592240334,333.6338582634926,-2.2508340775966644,1.6338582634925842,0.2061461533737146,True,1,6,0.2294101119041443
36,97.0,219.0,83.0,222.0,83.27098363637924,222.06526523828506,0.27098363637924194,0.0652652382850647,0.36686627864490956,True,1,4,0.6309261918067932
52,85.0,240.0,71.0,242.0,71.16556556522846,242.23443926870823,0.16556556522846222,0.23443926870822906,0.27906713608285977,True,1,4,0.12684209644794464
265,162.0,260.0,148.0,263.0,147.23263463377953,264.9701701439917,-0.7673653662204742,1.9701701439917088,0.3838140006854251,True,2,5,0.10729148983955383
87,134.0,301.0,118.0,305.0,117.82303999364376,304.7101167142391,-0.17696000635623932,-0.2898832857608795,0.2683529218178343,True,2,5,0.291869193315506
107,121.0,287.0,106.0,290.0,104.5796351134777,290.67053121328354,-1.420364886522293,0.6705312132835388,0.23661393806809267,True,2,5,0.8199654817581177
104,126.0,256.0,111.0,260.0,111.30619272589684,260.130413249135,0.3061927258968353,0.1304132491350174,0.20108703304199188,True,2,5,0.44841238856315613
43,338.0,32.0,331.0,43.0,331.19871141016483,43.175426945090294,0.19871141016483307,0.17542694509029388,0.2408820333568853,True,6,0,0.10614057630300522
97,398.0,464.0,377.0,477.0,376.2401470988989,477.11077842116356,-0.7598529011011124,0.11077842116355896,0.29120606045936304,True,7,9,0.13628463447093964
186,383.0,451.0,362.0,462.0,361.39534255862236,464.3317632973194,-0.6046574413776398,2.3317632973194122,0.2273406397595714,False,7,9,0.0
45,404.0,452.0,384.0,466.0,382.13133729994297,465.7028277814388,-1.8686627000570297,-0.2971722185611725,0.15264112432676902,True,7,9,0.52475905418396
